State,City,Postal Code,Revenue,Orders,Customers,Quantity,Revenue_per_Customer
California,La Quinta,92253,46.32,1,1,4,46.32
California,Laguna Niguel,92677,290.983,3,3,15,96.99433333333333
California,Lake Elsinore,92530,283.92,1,1,5,283.92
California,Lake Forest,92630,1625.536,2,2,17,812.768
California,Lakewood,90712,1583.683,5,5,35,316.7366
California,Lancaster,93534,477.444,4,4,15,119.361
California,Lodi,95240,136.98,2,2,9,68.49
California,Long Beach,90805,4933.83,11,11,114,448.53
California,Los Angeles,90004,23684.259,59,55,460,430.62289090909087
California,Los Angeles,90008,25208.0435,59,57,427,442.24637719298244
California,Los Angeles,90032,22420.4085,58,56,438,400.3644375
California,Los Angeles,90036,29157.853,67,65,468,448.5823538461538
California,Los Angeles,90045,37419.765,67,65,506,575.6886923076923
California,Los Angeles,90049,37961.012,74,69,580,550.1595942028986
California,Manteca,95336,452.182,2,2,8,226.091
California,Mission Viejo,92691,775.986,3,3,18,258.662
California,Modesto,95351,326.15000000000003,3,3,10,108.71666666666668
California,Montebello,90640,27.88,1,1,2,27.88
California,Moreno Valley,92553,1262.4660000000001,5,5,42,252.49320000000003
California,Morgan Hill,95037,545.01,1,1,16,545.01
California,Murrieta,92563,484.65,1,1,3,484.65
California,Oakland,94601,5964.418,13,13,107,458.80138461538456
California,Oceanside,92054,499.61199999999997,5,5,25,99.9224
California,Ontario,91761,283.92,1,1,5,283.92
California,Oxnard,93030,1558.1000000000001,4,4,31,389.52500000000003
California,Pasadena,91104,4112.688,11,10,97,411.2688
California,Pico Rivera,90660,145.9,1,1,5,145.9
California,Pomona,91767,1482.502,5,5,34,296.5004
California,Rancho Cucamonga,91730,231.852,4,4,14,57.963
California,Redding,96003,333.576,1,1,3,333.576
California,Redlands,92374,2891.021,4,4,61,722.75525
California,Redondo Beach,90278,1959.803,3,3,35,653.2676666666667
California,Redwood City,94061,41.904,1,1,6,41.904
California,Riverside,92503,1944.2459999999999,9,9,40,216.02733333333333
California,Roseville,95661,734.776,7,7,55,104.96799999999999
California,Sacramento,95823,7311.278,8,8,36,913.90975
California,Salinas,93905,728.8910000000001,4,4,39,182.22275000000002
California,San Bernardino,92404,979.3000000000001,4,4,33,244.82500000000002
California,San Clemente,92672,90.05799999999999,1,1,10,90.05799999999999
California,San Diego,92024,7054.148,21,21,125,335.91180952380955
California,San Diego,92037,25676.273,34,34,253,755.1845000000001
California,San Diego,92105,14790.608,33,33,292,448.20024242424245
California,San Francisco,94109,25010.31,80,78,515,320.64500000000004
California,San Francisco,94110,34991.315,88,82,618,426.7233536585366
California,San Francisco,94122,52667.467,97,95,802,554.3943894736842
California,San Gabriel,91776,2061.01,1,1,13,2061.01
California,San Jose,95123,6071.229,20,17,159,357.13111764705883
California,San Luis Obispo,93405,3.62,1,1,2,3.62
California,San Mateo,94403,75.18,1,1,6,75.18
California,Santa Ana,92704,3366.31,8,7,55,480.90142857142854
California,Santa Barbara,93101,4289.2339999999995,5,5,30,857.8467999999999
California,Santa Clara,95051,222.192,3,3,23,74.06400000000001
California,Santa Maria,93454,115.44,1,1,3,115.44
California,Stockton,95207,1227.6,5,5,34,245.51999999999998
California,Sunnyvale,94086,636.21,2,2,23,318.105
California,Temecula,92592,808.6659999999999,1,1,14,808.6659999999999
California,Thousand Oaks,91360,238.804,4,4,20,59.701
California,Torrance,90503,3132.268,2,2,16,1566.134
California,Vacaville,95687,423.28,1,1,11,423.28
California,Vallejo,94591,1221.41,3,3,22,407.1366666666667
California,Visalia,93277,318.78000000000003,2,2,20,159.39000000000001
California,Westminster,92683,3826.6459999999997,4,4,50,956.6614999999999
California,Whittier,90604,444.768,1,1,4,444.768
California,Woodland,95695,264.66200000000003,2,2,7,132.33100000000002
California,Yucaipa,92399,50.8,1,1,5,50.8
Colorado,Arvada,80004,503.4,1,1,10,503.4
Colorado,Aurora,80013,4083.5099999999998,15,15,130,272.234
Colorado,Broomfield,80020,793.504,2,2,23,396.752
Colorado,Colorado Springs,80906,3694.009,9,9,110,410.44544444444443
Colorado,Commerce City,80022,146.352,1,1,3,146.352
Colorado,Denver,80219,12198.793,17,17,164,717.5760588235294
Colorado,Englewood,80112,124.056,1,1,6,124.056
Colorado,Fort Collins,80525,935.252,5,5,20,187.0504
Colorado,Greeley,80634,30.351999999999997,1,1,5,30.351999999999997
Colorado,Littleton,80122,72.294,1,1,1,72.294
Colorado,Longmont,80501,915.088,2,2,10,457.544
Colorado,Louisville,80027,5070.416,12,12,90,422.5346666666667
Colorado,Loveland,80538,20.964000000000002,3,3,8,6.988
Colorado,Parker,80134,1067.942,2,2,24,533.971
Colorado,Pueblo,81001,1686.9379999999999,4,4,42,421.73449999999997
Colorado,Thornton,80229,765.248,3,3,47,255.08266666666668
Connecticut,Bristol,6010,814.58,3,3,17,271.5266666666667
Connecticut,Danbury,6810,27.46,1,1,2,27.46
Connecticut,Fairfield,6824,4935.577,12,12,80,411.29808333333335
Connecticut,Manchester,6040,2126.28,4,4,42,531.57
Connecticut,Meriden,6450,1550.6799999999998,5,5,32,310.13599999999997
Connecticut,Middletown,6457,1154.61,7,6,28,192.43499999999997
Connecticut,Milford,6460,961.74,3,3,30,320.58
Connecticut,Norwich,6360,414.03999999999996,4,4,12,103.50999999999999
Connecticut,Shelton,6484,73.33,1,1,5,73.33
Connecticut,Waterbury,6708,1326.06,5,5,33,265.212
Delaware,Dover,19901,449.12,6,6,22,74.85333333333334
Delaware,Newark,19711,20448.05,29,28,225,730.2875
Delaware,Wilmington,19805,6553.899,9,9,120,728.211
District of Columbia,Washington,20016,2865.02,4,4,40,716.255
Florida,Apopka,32712,904.554,3,3,31,301.518
Florida,Boca Raton,33433,63.007999999999996,2,2,8,31.503999999999998
Florida,Boynton Beach,33437,469.585,4,4,28,117.39625
Florida,Coral Gables,33134,64.248,1,1,6,64.248
Florida,Coral Springs,33065,824.992,4,4,21,206.248
Florida,Daytona Beach,32114,272.3315,2,2,10,136.16575
Florida,Delray Beach,33445,242.536,2,2,11,121.268
Florida,Deltona,32725,893.24,4,4,19,223.31
Florida,Fort Lauderdale,33311,4929.532499999999,12,12,65,410.79437499999995
Florida,Hialeah,33012,2338.949,10,10,76,233.8949
Florida,Hollywood,33021,1070.474,8,8,44,133.80925
Florida,Homestead,33030,132.552,2,2,5,66.276
Florida,Jacksonville,32216,39133.328,38,38,248,1029.8244210526316
Florida,Jupiter,33458,2.064,1,1,1,2.064
Florida,Kissimmee,34741,751.984,1,1,2,751.984
Florida,Lakeland,33801,5606.8865000000005,6,6,74,934.4810833333335
Florida,Margate,33063,15.552,1,1,3,15.552
Florida,Melbourne,32935,95.616,1,1,2,95.616
Florida,Miami,33142,3619.4210000000003,9,9,38,402.1578888888889
Florida,Miami,33178,1918.3685,10,10,73,191.83685
Florida,Miami,33180,3135.285,15,15,104,209.01899999999998
Florida,Miramar,33023,1531.192,3,3,41,510.39733333333334
Florida,North Miami,33161,22.128,2,2,6,11.064
Florida,Orlando,32839,1740.08,6,6,39,290.0133333333333
Florida,Ormond Beach,32174,2.808,1,1,3,2.808
Florida,Palm Coast,32137,274.428,3,3,20,91.476
Florida,Pembroke Pines,33024,1714.3754999999999,4,4,47,428.59387499999997
Florida,Pensacola,32503,2.214,1,1,3,2.214
Florida,Plantation,33317,1436.836,3,3,45,478.94533333333334
Florida,Pompano Beach,33068,90.44,2,2,12,45.22
Florida,Port Orange,32127,7.824,1,1,1,7.824
Florida,Port Saint Lucie,34952,248.95,3,3,11,82.98333333333333
Florida,Saint Petersburg,33710,1690.7920000000001,6,6,53,281.7986666666667
Florida,Sanford,32771,225.54600000000002,1,1,9,225.54600000000002
Florida,Tallahassee,32303,7250.669,9,9,89,805.6298888888889
Florida,Tamarac,33319,1413.51,2,2,15,706.755
Florida,Tampa,33614,5196.0805,14,14,105,371.14860714285714
Florida,West Palm Beach,33407,141.328,3,3,11,47.10933333333333
Georgia,Athens,30605,1720.81,5,5,30,344.162
Georgia,Atlanta,30318,17197.84,17,17,156,1011.6376470588235
Georgia,Columbus,31907,14845.05,40,37,258,401.2175675675675
Georgia,East Point,30344,268.4,1,1,7,268.4
Georgia,Macon,31204,364.01,4,4,24,91.0025
Georgia,Marietta,30062,2938.62,3,3,33,979.54
Georgia,Roswell,30076,6652.32,9,9,64,739.1466666666666
Georgia,Sandy Springs,30328,1997.03,4,4,47,499.2575
Georgia,Smyrna,30080,2390.31,5,5,60,478.062
Georgia,Warner Robins,31088,434.8,2,2,10,217.4
Georgia,Woodstock,30188,286.65000000000003,1,1,16,286.65000000000003
Idaho,Boise,83704,1094.47,3,3,9,364.8233333333333
Idaho,Caldwell,83605,455.63199999999995,1,1,11,455.63199999999995
Idaho,Lewiston,83501,9.584,1,1,1,9.584
Idaho,Meridian,83642,329.052,2,2,11,164.526
Idaho,Pocatello,83201,1344.942,3,3,25,448.314
Idaho,Twin Falls,83301,1148.806,1,1,7,1148.806
Illinois,Arlington Heights,60004,14.112,1,1,6,14.112
Illinois,Aurora,60505,7572.968,20,20,128,378.6484
Illinois,Bloomington,61701,963.94,6,6,27,160.65666666666667
Illinois,Bolingbrook,60440,218.308,3,3,23,72.76933333333334
Illinois,Buffalo Grove,60089,831.399,2,2,10,415.6995
Illinois,Carol Stream,60188,1305.81,1,1,18,1305.81
Illinois,Champaign,61821,151.96,1,1,5,151.96
Illinois,Chicago,60610,13627.124,56,53,389,257.1155471698113
Illinois,Chicago,60623,18899.911,62,61,385,309.83460655737707
Illinois,Chicago,60653,16012.506,53,51,358,313.97070588235295
Illinois,Danville,61832,43.372,1,1,7,43.372
Illinois,Decatur,62521,3169.473,9,9,77,352.16366666666664
Illinois,Des Plaines,60016,1493.212,2,2,24,746.606
Illinois,Elmhurst,60126,891.6279999999999,2,2,14,445.81399999999996
Illinois,Evanston,60201,1753.799,3,3,11,584.5996666666666
Illinois,Frankfort,60423,97.632,2,2,10,48.816
Illinois,Freeport,61032,215.82,2,2,12,107.91
Illinois,Glenview,60025,158.376,1,1,3,158.376
Illinois,Highland Park,60035,2035.096,3,3,28,678.3653333333333
Illinois,Naperville,60540,1288.3029999999999,5,5,33,257.6606
Illinois,Normal,61761,366.744,1,1,4,366.744
Illinois,Oak Park,60302,10.192,1,1,7,10.192
Illinois,Orland Park,60462,339.96,1,1,5,339.96
Illinois,Oswego,60543,321.978,1,1,13,321.978
Illinois,Palatine,60067,116.312,1,1,7,116.312
Illinois,Park Ridge,60068,685.0,3,3,17,228.33333333333334
Illinois,Peoria,61604,501.47999999999996,4,4,23,125.36999999999999
Illinois,Quincy,62301,330.284,6,6,40,55.047333333333334
Illinois,Rockford,61107,3166.228,8,8,64,395.7785
Illinois,Romeoville,60441,8.952,1,1,2,8.952
Illinois,Saint Charles,60174,1388.71,3,3,20,462.90333333333336
Illinois,Skokie,60076,568.832,5,5,44,113.7664
Illinois,Tinley Park,60477,22.288,1,1,7,22.288
Illinois,Wheeling,60090,737.142,2,2,9,368.571
Illinois,Woodstock,60098,857.2500000000001,3,3,15,285.75000000000006
Indiana,Bloomington,47401,603.8,4,4,31,150.95
Indiana,Columbus,47201,7960.4,16,16,114,497.525
Indiana,Elkhart,46514,171.43,1,1,7,171.43
Indiana,Greenwood,46142,1665.0500000000002,2,2,19,832.5250000000001
Indiana,Indianapolis,46203,9306.42,12,12,95,775.535
Indiana,La Porte,46350,1021.34,3,3,33,340.44666666666666
Indiana,Lafayette,47905,19630.45,7,7,43,2804.35
Indiana,Lawrence,46226,1545.13,6,6,52,257.5216666666667
Indiana,Mishawaka,46544,776.24,2,2,11,388.12
Indiana,New Albany,47150,209.55,1,1,15,209.55
Indiana,New Castle,47362,84.61,1,1,9,84.61
Indiana,Noblesville,46060,3091.1800000000003,2,2,15,1545.5900000000001
Indiana,Portage,46368,16.28,1,1,2,16.28
Indiana,Richmond,47374,6235.15,14,13,107,479.62692307692305
Indiana,South Bend,46614,1238.33,1,1,25,1238.33
Iowa,Burlington,52601,57.43,2,2,9,28.715
Iowa,Cedar Rapids,52402,278.4,1,1,3,278.4
Iowa,Des Moines,50315,2008.8400000000001,5,5,43,401.76800000000003
Iowa,Dubuque,52001,1687.3,2,2,18,843.65
Iowa,Iowa City,52240,9.99,1,1,1,9.99
Iowa,Marion,52302,358.36,3,3,22,119.45333333333333
Iowa,Urbandale,50322,149.12,2,2,12,74.56
Iowa,Waterloo,50701,30.32,1,1,4,30.32
Kansas,Garden City,67846,312.38,3,3,8,104.12666666666667
Kansas,Manhattan,66502,273.96,1,1,2,273.96
Kansas,Olathe,66062,895.79,2,2,15,447.895
Kansas,Overland Park,66212,606.91,3,3,23,202.3033333333333
Kansas,Wichita,67212,825.27,5,5,26,165.054
Kentucky,Bowling Green,42104,211.81,2,2,5,105.905
Kentucky,Florence,41042,4559.8,4,4,38,1139.95
Kentucky,Georgetown,40324,1786.42,3,3,35,595.4733333333334
Kentucky,Henderson,42420,15661.01,17,17,185,921.2358823529412
Kentucky,Louisville,40214,7275.39,17,16,131,454.711875
Kentucky,Murray,42071,264.62,2,2,8,132.31
Kentucky,Owensboro,42301,71.18,2,2,5,35.59
Kentucky,Richmond,40475,6761.52,14,14,116,482.96571428571434
Louisiana,Bossier City,71111,1417.18,2,2,24,708.59
Louisiana,Kenner,70065,89.32000000000001,1,1,4,89.32000000000001
Louisiana,Lafayette,70506,5405.75,10,10,61,540.575
Louisiana,Lake Charles,70601,547.41,2,2,16,273.705
Louisiana,Monroe,71203,1757.37,6,6,51,292.895
Maine,Bangor,4401,1164.45,2,2,29,582.225
Maine,Lewiston,4240,106.08000000000001,1,1,6,106.08000000000001
Maryland,Baltimore,21215,6156.842000000001,21,21,184,293.18295238095243
Maryland,Clinton,20735,5514.251,10,10,119,551.4251
Maryland,Columbia,21044,10962.35,9,9,90,1218.038888888889
Maryland,Gaithersburg,20877,405.91999999999996,1,1,5,405.91999999999996
Maryland,Hagerstown,21740,43.8,1,1,6,43.8
Maryland,Laurel,20707,152.59,1,1,5,152.59
Maryland,Rockville,20852,469.77,3,3,11,156.59
Massachusetts,Andover,1810,435.84999999999997,1,1,13,435.84999999999997
Massachusetts,Beverly,1915,2583.19,1,1,15,2583.19
Massachusetts,Cambridge,2138,502.09000000000003,3,3,19,167.36333333333334
Massachusetts,Everett,2149,5661.878,8,8,83,707.73475
Massachusetts,Franklin,2038,5534.559,9,9,60,614.951
Massachusetts,Holyoke,1040,301.96,1,1,2,301.96
Massachusetts,Lawrence,1841,6109.062,15,15,114,407.2708
Massachusetts,Leominster,1453,217.49,2,2,20,108.745
Massachusetts,Lowell,1852,4837.93,7,7,60,691.1328571428572
Massachusetts,Malden,2148,228.38,2,2,9,114.19
Massachusetts,Marlborough,1752,206.64,1,1,6,206.64
Massachusetts,New Bedford,2740,235.96999999999997,4,4,22,58.99249999999999
Massachusetts,Quincy,2169,946.175,5,5,44,189.23499999999999
Massachusetts,Revere,2151,833.26,3,3,24,277.75333333333333
Michigan,Ann Arbor,48104,889.273,2,2,23,444.6365
Michigan,Canton,48187,818.13,2,2,13,409.065
Michigan,Dearborn,48126,1603.3100000000002,2,2,23,801.6550000000001
Michigan,Dearborn Heights,48127,1051.5700000000002,2,2,19,525.7850000000001
Michigan,Detroit,48205,23018.732,14,12,121,1918.2276666666667
Michigan,Detroit,48227,11262.78,21,21,193,536.3228571428572
Michigan,Detroit,48234,8165.432,18,17,127,480.3195294117647
Michigan,Grand Rapids,49505,526.13,6,6,31,87.68833333333333
Michigan,Holland,49423,137.86,2,2,11,68.93
Michigan,Jackson,49201,15420.036,14,14,132,1101.431142857143
Michigan,Lansing,48911,1610.286,3,3,25,536.7620000000001
Michigan,Lincoln Park,48146,387.602,2,2,11,193.801
Michigan,Midland,48640,5291.512,5,5,39,1058.3024
Michigan,Mount Pleasant,48858,17.14,1,1,2,17.14
Michigan,Oak Park,48237,580.8599999999999,1,1,5,580.8599999999999
Michigan,Rochester Hills,48307,132.52,1,1,4,132.52
Michigan,Roseville,48066,638.33,4,4,21,159.5825
Michigan,Royal Oak,48073,35.34,2,2,4,17.67
Michigan,Saginaw,48601,395.86,2,2,24,197.93
Michigan,Sterling Heights,48310,110.03999999999999,3,3,11,36.68
Michigan,Taylor,48180,353.7,3,3,7,117.89999999999999
Michigan,Trenton,48183,1765.1950000000002,4,4,54,441.29875000000004
Michigan,Westland,48185,2057.976,3,3,46,685.9920000000001
Minnesota,Apple Valley,55124,137.94,2,2,5,68.97
Minnesota,Coon Rapids,55433,503.13,1,1,7,503.13
Minnesota,Cottage Grove,55016,144.35999999999999,1,1,6,144.35999999999999
Minnesota,Eagan,55122,214.28,3,3,22,71.42666666666666
Minnesota,Lakeville,55044,4260.95,5,5,84,852.1899999999999
Minnesota,Maple Grove,55369,882.87,2,2,13,441.435
Minnesota,Minneapolis,55407,16870.54,13,13,80,1297.7338461538461
Minnesota,Moorhead,56560,543.86,2,2,9,271.93
Minnesota,Rochester,55901,1957.4,8,8,50,244.675
Minnesota,Roseville,55113,2215.52,2,2,20,1107.76
Minnesota,Saint Cloud,56301,1331.82,1,1,13,1331.82
Minnesota,Saint Paul,55106,192.82999999999998,2,2,11,96.41499999999999
Minnesota,Woodbury,55125,607.65,2,2,11,303.825
Mississippi,Gulfport,39503,166.5,3,3,20,55.5
Mississippi,Hattiesburg,39401,1722.84,3,3,38,574.28
Mississippi,Jackson,39212,7426.61,18,17,138,436.85941176470584
Mississippi,Southaven,38671,1455.39,2,2,25,727.695
Missouri,Columbia,65203,2990.04,3,3,38,996.68
Missouri,Gladstone,64118,164.34,1,1,5,164.34
Missouri,Independence,64055,2417.37,2,2,6,1208.685
Missouri,Jefferson City,65109,86.62,1,1,2,86.62
Missouri,Kirkwood,63122,241.34,1,1,7,241.34
Missouri,Saint Charles,63301,270.94,3,3,13,90.31333333333333
Missouri,Saint Louis,63116,285.96000000000004,4,4,26,71.49000000000001
Missouri,Saint Peters,63376,697.16,1,1,4,697.16
Missouri,Springfield,65807,15051.380000000001,14,13,151,1157.7984615384617
Montana,Billings,59102,8.288,1,1,2,8.288
Montana,Bozeman,59715,43.66,1,1,5,43.66
Montana,Great Falls,59405,4605.58,3,3,30,1535.1933333333334
Montana,Helena,59601,443.84,2,2,17,221.92
Montana,Missoula,59801,487.984,1,1,2,487.984
Nebraska,Fremont,68025,1119.0099999999998,7,7,33,159.8585714285714
Nebraska,Grand Island,68801,15.96,1,1,2,15.96
Nebraska,Norfolk,68701,17.43,1,1,3,17.43
Nebraska,Omaha,68104,6312.53,14,14,98,450.895
Nevada,Henderson,89015,1888.0580000000002,2,2,13,944.0290000000001
Nevada,Las Vegas,89115,1834.02,8,8,61,229.2525
Nevada,North Las Vegas,89031,9801.002,7,7,58,1400.143142857143
Nevada,Reno,89502,644.062,3,3,17,214.68733333333333
Nevada,Sparks,89431,2561.96,3,3,19,853.9866666666667
New Hampshire,Concord,3301,2827.63,10,10,64,282.76300000000003
New Hampshire,Dover,3820,4428.954,5,5,53,885.7908
New Hampshire,Nashua,3060,35.94,2,2,10,17.97
New Jersey,Atlantic City,8401,23.36,1,1,2,23.36
New Jersey,Bayonne,7002,183.4,1,1,9,183.4
New Jersey,Belleville,7109,1891.6000000000001,4,4,32,472.90000000000003
New Jersey,Bridgeton,8302,52.410000000000004,1,1,6,52.410000000000004
New Jersey,Clifton,7011,336.82,1,1,9,336.82
New Jersey,East Orange,7017,377.27,2,2,20,188.635
New Jersey,Hackensack,7601,1456.16,2,2,28,728.08
New Jersey,Lakewood,8701,14852.04,11,11,93,1350.1854545454546
New Jersey,Linden,7036,115.36,1,1,7,115.36
New Jersey,Morristown,7960,5033.099999999999,5,5,31,1006.6199999999999
New Jersey,New Brunswick,8901,14.77,1,1,3,14.77
New Jersey,Orange,7050,211.11,5,5,17,42.222
New Jersey,Passaic,7055,1562.086,1,1,24,1562.086
New Jersey,Paterson,7501,2243.21,6,6,62,373.86833333333334
New Jersey,Perth Amboy,8861,1717.08,4,4,22,429.27
New Jersey,Plainfield,7060,4526.85,7,7,49,646.6928571428572
New Jersey,Vineland,8360,647.966,4,4,24,161.9915
New Jersey,Westfield,7090,519.72,4,4,16,129.93
New Mexico,Albuquerque,87105,2220.16,7,7,65,317.1657142857143
New Mexico,Carlsbad,88220,419.34,5,5,35,83.868
New Mexico,Clovis,88101,111.42,1,1,10,111.42
New Mexico,Farmington,87401,718.72,3,3,11,239.57333333333335
New Mexico,Las Cruces,88001,98.77,3,3,9,32.92333333333333
New Mexico,Rio Rancho,87124,1114.192,1,1,7,1114.192
New Mexico,Santa Fe,87505,100.92,2,2,14,50.46
New York,Auburn,13021,1384.158,6,6,63,230.69299999999998
New York,Buffalo,14215,9063.496,7,7,46,1294.7851428571428
New York,Freeport,11520,523.3299999999999,4,4,17,130.83249999999998
New York,Hempstead,11550,2589.586,4,4,51,647.3965
New York,Jamestown,14701,4708.79,2,2,9,2354.395
New York,Lindenhurst,11757,55.48,1,1,1,55.48
New York,Long Beach,11561,8521.2,22,22,142,387.32727272727277
New York,Mount Vernon,10550,2119.632,5,5,33,423.9264
New York,New Rochelle,10801,1255.228,5,5,27,251.0456
New York,New York City,10009,54761.496,110,105,848,521.5380571428572
New York,New York City,10011,45551.598,94,92,776,495.1260652173913
New York,New York City,10024,78697.182,121,115,840,684.3233217391304
New York,New York City,10035,77357.885,125,118,953,655.5752966101694
New York,Niagara Falls,14304,199.84199999999998,2,2,12,99.92099999999999
New York,Oceanside,11572,3851.126,8,8,82,481.39075
New York,Rochester,14609,6017.13,20,20,120,300.8565
New York,Rome,13440,534.852,3,3,22,178.284
New York,Troy,12180,1326.556,6,6,57,221.09266666666667
New York,Utica,13501,655.04,4,4,33,163.76
New York,Watertown,13601,4044.998,7,7,35,577.8568571428572
New York,Yonkers,10701,7657.666,6,6,57,1276.2776666666666
North Carolina,Asheville,28806,1475.376,6,6,28,245.896
North Carolina,Burlington,27217,12681.282,7,7,46,1811.6117142857142
North Carolina,Cary,27511,505.20799999999997,3,3,19,168.40266666666665
North Carolina,Chapel Hill,27514,14.016,1,1,3,14.016
North Carolina,Charlotte,28205,13693.339,24,24,243,570.5557916666667
North Carolina,Concord,28027,5111.844,5,5,44,1022.3688
North Carolina,Durham,27707,879.96,5,5,33,175.99200000000002
North Carolina,Fayetteville,28314,3183.116,12,12,117,265.25966666666665
North Carolina,Gastonia,28052,895.06,1,1,16,895.06
North Carolina,Goldsboro,27534,34.944,1,1,3,34.944
North Carolina,Greensboro,27405,2406.78,8,8,50,300.8475
North Carolina,Greenville,27834,2117.83,5,5,27,423.566
North Carolina,Hickory,28601,40.764,2,2,5,20.382
North Carolina,Jacksonville,28540,5579.8550000000005,23,23,181,242.60239130434783
North Carolina,Monroe,28110,1213.0639999999999,6,6,22,202.1773333333333
North Carolina,Raleigh,27604,4507.54,13,13,77,346.7338461538462
North Carolina,Thomasville,27360,151.292,2,2,12,75.646
North Carolina,Wilmington,28403,743.1619999999999,9,9,37,82.57355555555554
North Carolina,Wilson,27893,368.73199999999997,3,3,20,122.91066666666666
North Dakota,Fargo,58103,919.91,2,2,30,459.955
Ohio,Akron,44312,2729.986,10,10,65,272.9986
Ohio,Bowling Green,43402,1865.565,4,4,25,466.39125
Ohio,Cincinnati,45231,1611.976,12,12,58,134.33133333333333
Ohio,Cleveland,44105,6346.185,21,21,138,302.19928571428574
Ohio,Columbus,43229,15900.793,55,52,464,305.78448076923075
Ohio,Cuyahoga Falls,44221,29.093999999999998,3,3,13,9.697999999999999
Ohio,Dublin,43017,2379.16,5,5,51,475.832
Ohio,Elyria,44035,1.824,1,1,1,1.824
Ohio,Fairfield,45014,3077.697,10,10,75,307.7697
Ohio,Grove City,43123,123.588,1,1,12,123.588
Ohio,Hamilton,45011,328.224,3,3,13,109.408
Ohio,Kent,44240,346.302,3,3,20,115.43400000000001
Ohio,Lakewood,44107,1756.324,13,13,76,135.10184615384617
Ohio,Lancaster,43130,8202.625,15,15,121,546.8416666666667
Ohio,Lorain,44052,2015.1109999999999,5,5,35,403.0222
Ohio,Marion,43302,3010.986,8,8,41,376.37325
Ohio,Mason,45040,94.264,1,1,7,94.264
Ohio,Medina,44256,2477.722,3,3,38,825.9073333333334
Ohio,Mentor,44060,693.13,1,1,15,693.13
Ohio,Newark,43055,8128.0689999999995,16,16,137,508.00431249999997
Ohio,Parma,44134,3879.756,4,4,40,969.939
Ohio,Springfield,45503,5613.167,19,19,137,295.42984210526316
